economy,economy_code,pillar_i_overall,pillar_ii_overall,pillar_iii_overall,category_2_2_overall,topic
Slovak Republic,SVK,83.76,64.17,94.7,36.25,international_trade
Tanzania,TZA,52.24,67.18,60.9,29.29,international_trade
Timor-Leste,TMP,46.49,55.14,44.2,28.93,international_trade
Togo,TGO,71.09,54.66,56.9,20.95,international_trade
Vanuatu,VUT,44.5,66.15,13.2,45.83,international_trade
Vietnam,VNM,80.5,47.86,88.8,20.48,international_trade
West Bank and Gaza,WBG,56.17,19.21,72.1,11.43,international_trade
Bangladesh,BGD,78.71,41.67,71.67,41.67,labor
Barbados,BRB,70.85,75,63.08,41.67,labor
Bosnia and Herzegovina,BIH,83.5,76.79,49.33,39.29,labor
Botswana,BWA,73.88,41.07,75.58,32.74,labor
Bulgaria,BGR,80.66,75,50.5,50,labor
Cambodia,KHM,80.66,54.17,70.5,41.67,labor
Central African Republic,CAF,45.9,47.62,56.33,39.29,labor
Chad,TCD,52.55,47.62,66.83,39.29,labor
Colombia,COL,67.44,55.95,62.83,39.29,labor
Costa Rica,CRI,74.32,48.21,53.67,35.71,labor
Côte dIvoire,CIV,80.92,58.33,68.58,41.67,labor
Croatia,HRV,87.39,87.5,51.92,41.67,labor
El Salvador,SLV,60.34,39.88,68.33,27.38,labor
Estonia,EST,69.83,70.83,66,50,labor
"Gambia, The",GMB,66.85,39.88,40.92,27.38,labor
Georgia,GEO,84.2,87.5,78.67,50,labor
Ghana,GHA,60.46,54.17,91.08,41.67,labor
Greece,GRC,76.8,83.33,34,50,labor
"Hong Kong SAR, China",HKG,69.69,54.17,82.58,50,labor
Hungary,HUN,80.2,91.67,73.75,50,labor
Indonesia,IDN,67.36,83.33,65.92,41.67,labor
Iraq,IRQ,77.71,34.52,48.75,26.19,labor
Kyrgyz Republic,KGZ,60.12,37.5,65.42,37.5,labor
Lesotho,LSO,70.01,48.81,69.25,32.14,labor
Madagascar,MDG,64.94,38.1,49,29.76,labor
Mauritius,MUS,75.06,91.67,63.08,50,labor
Mexico,MEX,69.22,50,60,37.5,labor
Montenegro,MNE,80.24,63.69,45.83,34.52,labor
Morocco,MAR,57.63,87.5,32.17,50,labor
Nepal,NPL,72.67,58.33,66.08,41.67,labor
New Zealand,NZL,68.18,100,71.67,50,labor
North Macedonia,MKD,76.83,68.45,65.92,47.62,labor
Pakistan,PAK,61.3,36.31,62.75,32.14,labor
Paraguay,PRY,74.62,70.83,53.25,45.83,labor
Peru,PER,61.42,70.24,62.17,45.24,labor
Philippines,PHL,70.53,79.17,76.92,50,labor
Portugal,PRT,88.23,91.67,41.08,50,labor
Romania,ROM,75.34,76.79,36.17,47.62,labor
Rwanda,RWA,65.32,39.88,75.25,27.38,labor
Samoa,WSM,83.75,56.55,70.42,31.55,labor
Seychelles,SYC,67.38,83.33,67.42,41.67,labor
